;question;answer;contexts;source
11;What operations are typically performed on pointers in linked data structures?;Pointers in linked data structures are typically only dereferenced or compared for equality.;['In linked data structures, pointers are only\xa0dereferenced\xa0or compared for equality. Thus, linked data structures are different than\xa0arrays, which require adding and subtracting pointers.'];https://simple.wikipedia.org/wiki/Data%20structure
12;What types of data structures are linked lists, search trees, and expression trees classified as?;Linked data structures;['Linked lists,\xa0search trees,\xa0and expression trees are all linked data structures. They are also important in algorithms such as\xa0topological sort\xa0and\xa0set union-find.'];https://simple.wikipedia.org/wiki/Data%20structure
13;What everyday objects can be used to illustrate the concept of a stack in data structures?;A stack of plates or books.;['A stack is a basic data structure that can be logically thought as linear structure represented by a real physical stack or pile, a structure where insertion and deletion of items takes place at one end called top of the stack. The basic concept can be illustrated by thinking of your data set as a stack of plates or books where you can only take the top item off the stack in order to remove things from it. This structure is used all throughout programming.'];https://simple.wikipedia.org/wiki/Data%20structure
14;What is the fundamental concept that combines a value range with permissible operations in computer science?;A data type;['In computer science, a data type is the combination of a value range with permissible operations. Data type is frequently shortened to type.'];https://simple.wikipedia.org/wiki/Data%20type
15;What is the primary purpose of data types in programming when working with dates?;To allow the programmer to perform operations on a date.;['Programming Data types in programming allow the programmer to perform operations on a date. Every date has an associated data type.'];https://simple.wikipedia.org/wiki/Data%20type
16;What data type is assigned to the date 42 in the Pascal programming language?;Integer;['In the Pascal programming language, the date 42 has the data type integer.'];https://simple.wikipedia.org/wiki/Data%20type
17;What is the range of allowed integer values on an 8-bit computer?;The range includes all whole numbers between -127 and 127.;['The data type integer has a certain range of allowed values. For example on an 8-bit computer, this range includes all whole numbers between -127 and 127. The value 1337, however, is not an allowed integer value.'];https://simple.wikipedia.org/wiki/Data%20type
18;What is the result of using the operation + on two integer dates in the data type integer?;Their combined sum.;['Furthermore, the data type integer allows certain operations: The operation + can take two integer dates and calculates their combined sum. There are many more operations. All those operations characterize the data type integer.'];https://simple.wikipedia.org/wiki/Data%20type
19;What is the term used to describe the combination of a specific permissible range and legal operations of a data type?;A concrete data type;['A data type forms a unit: Together, the specific permissible range and legal operations, are referred to as a concrete data type.'];https://simple.wikipedia.org/wiki/Data%20type
20;What is implied when a programmer or compiler reads the word 'integer' in the source code?;The values and operations that are allowed.;['When a programmer or the compiler read the word integer in the source code, they automatically understand which values and operations are allowed.'];https://simple.wikipedia.org/wiki/Data%20type
21;In which type of programming languages do high-level data types primarily appear?;High-level programming languages;['Availability High-level Data types are an abstract concept. This concept primarily appears in high-level programming languages.'];https://simple.wikipedia.org/wiki/Data%20type
22;What fundamental concept is explicitly included in virtually all high-level programming languages?;The notion of data type.;['Virtually all high-level programming language explicitly include the notion of data type. Common basic data types may include: integers Boolean values'];https://simple.wikipedia.org/wiki/Data%20type
23;What is the relationship between characters, strings, and real numbers in the context of data types?;Characters and strings are a subset of real numbers, indicating that they can be represented as numerical values within the broader category of real numbers.;['characters (individual letters) and strings a subset of real numbers'];https://simple.wikipedia.org/wiki/Data%20type
24;What structure concepts are used to combine basic data types into custom data types?;Arrays, sets, and records are used to combine basic data types into custom data types.;['Usually, these and other basic data types can be combined to custom data types using structure concepts like: arrays sets records Low-level'];https://simple.wikipedia.org/wiki/Data%20type
25;What type of programming language does not recognize the notion of data type as presented above?;Assembly language, a low-level programming language.;['The notion of data type as presented above is unknown in assembly language, a low-level programming language.'];https://simple.wikipedia.org/wiki/Data%20type
26;What types of number values are recognized by modern computers?;Integer number values and real numbers in binary.;['All computers know integer number values. Modern computers also know real numbers in binary.'];https://simple.wikipedia.org/wiki/Data%20type
27;What is a key characteristic of Assembly language in terms of data type use?;Assembly language does not rigidly enforce proper data type use, allowing for the use of an integer as if it was a real number.;['But there is no rigid enforcement of proper “data type” use. Assembly language does not prevent using an integer as if it was a real number.'];https://simple.wikipedia.org/wiki/Data%20type
28;What is the basis of all high-level programming languages?;Assembly language;['This is intentional, because assembly language is the basis of all (high-level) programming languages.'];https://simple.wikipedia.org/wiki/Data%20type
29;What are the primary data types typically limited by a processor's machine code?;Register names, memory addresses, and immediate values.;['Yet, the processor’s machine code sets the limits. Usually, the only “data types” are: register names memory addresses immediate values'];https://simple.wikipedia.org/wiki/Data%20type
30;What factors can be used to further differentiate data types?;Their size, the number of Bytes they occupy, or the number of Bytes the referenced object occupies in the case of memory address.;['All of which may be further differentiated by their size, how many Bytes each of those occupy, or—in the case of memory address—how many Bytes the referenced object occupies.'];https://simple.wikipedia.org/wiki/Data%20type
31;What is the primary purpose of a file format in relation to a computer file?;A file format describes how to read or write a computer file and defines what the file may contain in terms of permissible value range.;['Related pages File format: describes how to read or write a computer file (legal operations) and what this file may contain (permissible value range)'];https://simple.wikipedia.org/wiki/Data%20type
32;What is a common requirement for variables in computer programming?;A data type;['variable: variables in computer programming frequently require a data type Sources Computer science'];https://simple.wikipedia.org/wiki/Data%20type
