;question;answer;contexts;source
25;What does a correlation coefficient of 0.8 indicate about the relationship between two sets of data?;A correlation coefficient of 0.8 indicates a strong positive correlation, meaning the two sets of data are linked and tend to increase together.;['For example, for the data that we did above,  was 0.8. So this means that there is a positive correlation. Because it is close to 1, it means that the link is strong between the two sets of data. So, we can say that those two sets of data are linked, and go up together. If it was −0.8, we could say it was linked and as one goes up, the other goes down.'];https://simple.wikipedia.org/wiki/Spearman%27s%20rank%20correlation%20coefficient
26;What happens to the ranks of tied numbers when ranking data, and how are they calculated?;The tied numbers are ranked as if they were not tied, then the ranks are added up and divided by the number of tied ranks, resulting in a mean or average rank.;['Sometimes, when ranking data, there are two or more numbers that are the same. When this happens in , we take the mean or average of the ranks that are the same. These are called tied ranks. To do this, we rank the tied numbers as if they were not tied. Then, we add up all the ranks that they would have, and divide it by how many there are.  For example, say we were ranking how well different people did in a spelling test.'];https://simple.wikipedia.org/wiki/Spearman%27s%20rank%20correlation%20coefficient
27;How are the numbers used in Spearman's rank correlation coefficient similar to other ranking systems?;They are used in exactly the same way as normal ranks.;['These numbers are used in exactly the same way as normal ranks. Related pages Correlation Notes and references Statistics Mathematics'];https://simple.wikipedia.org/wiki/Spearman%27s%20rank%20correlation%20coefficient
28;What does a rank correlation coefficient measure in the context of rankings?;The degree of similarity between two rankings.;"['A rank correlation is any statistic that measures the relationship between rankings. A ""ranking"" is the assignment of ""first"", ""second"", ""third"", etc. to different observations of a variable. A rank correlation coefficient measures the degree of similarity between two rankings.']";https://simple.wikipedia.org/wiki/Rank%20correlation
29;What is an example of a potential correlation that can be tested between two college sports programs?;The correlation between the ranking of a college's basketball program and the ranking of its football program.;['One might test for do colleges with a higher-ranked basketball program tend to have a higher-ranked football program? A quite important question is do people with higher-ranked education tend to get higher levels of income?'];https://simple.wikipedia.org/wiki/Rank%20correlation
30;What are some commonly used statistics for measuring the relationship between ranked data?;Spearman's ρ, Kendall's τ, Goodman and Kruskal's γ;"[""Some of the most used rank correlation statistics are Spearman's ρ Kendall's τ Goodman and Kruskal's γ""]";https://simple.wikipedia.org/wiki/Rank%20correlation
31;What is the range of values that the rank correlation coefficient can take, and what does it signify when it reaches its maximum value?;The rank correlation coefficient is inside the interval [−1, 1] and assumes the value 1 when there is perfect agreement between rankings.;['An increasing rank correlation coefficient implies increasing agreement between rankings. The coefficient is inside the interval [−1,\xa01] and assumes the value:'];https://simple.wikipedia.org/wiki/Rank%20correlation
32;What does a correlation coefficient of 1 signify in the context of rank correlation?;A correlation coefficient of 1 indicates that the agreement between the two rankings is perfect, meaning the two rankings are the same.;"['1 if the agreement between the two rankings is perfect; the two rankings are the same. 0 if the rankings are completely independent.']";https://simple.wikipedia.org/wiki/Rank%20correlation
33;What does a correlation coefficient of -1 signify in the context of rank correlation?;A correlation coefficient of -1 indicates that the disagreement between the two rankings is perfect, meaning one ranking is the reverse of the other.;"['−1 if the disagreement between the two rankings is perfect; one ranking is the reverse of the other. Kerby simple difference formula']";https://simple.wikipedia.org/wiki/Rank%20correlation
34;Why did Dave Kerby recommend the rank-biserial as a measure to introduce students to rank correlation?;Because the general logic of rank-biserial can be explained at an introductory level.;['Dave Kerby recommended the rank-biserial as the measure to introduce students to rank correlation, because the general logic can be explained at an introductory level.'];https://simple.wikipedia.org/wiki/Rank%20correlation
35;What two key figures does Kerby use to express rank correlation, and how are they related to the data?;Kerby uses the percent of data that support a stated hypothesis and the percent of data that do not support it. The rank correlation is expressed as the difference between the proportion of favorable evidence and the proportion of unfavorable evidence.;['Kerby showed that this rank correlation can be expressed in terms of two figures: the percent of data that support a stated hypothesis, and the percent of data that do not support it. The Kerby simple difference formula states that the rank correlation can be expressed as the difference between the proportion of favorable evidence (f) minus the proportion of unfavorable evidence (u).'];https://simple.wikipedia.org/wiki/Rank%20correlation
36;What is the primary goal of the coach's experiment in comparing the performance of Group A and Group B long-distance runners?;To determine if method A produces faster runners than method B.;['Suppose a coach trains long-distance runners for one month using two methods.  Group A has 5 runners, and Group B has 4 runners.  The hypothesis is that method A produces faster runners.  The race to assess the results finds that the runners from Group A do indeed run faster, with the following ranks: 1, 2, 3, 4, and 6.  The slower runners from Group B thus have ranks of 5, 7, 8, and 9.'];https://simple.wikipedia.org/wiki/Rank%20correlation
37;In the context of rank correlation, what happens when a pair does not support the hypothesis, and how does it affect the overall correlation?;When a pair does not support the hypothesis, it means that the expected relationship between the two groups is not observed in that pair. This affects the overall correlation by reducing the percentage of data that supports the hypothesis, thus lowering the rank correlation coefficient.;['The analysis is done on pairs, a member of one group compared to a member of the other group. For example, the fastest runner in the study is a member of four pairs: (1,5), (1,7), (1,8), and (1,9).  All four of these pairs support the hypothesis, because in each pair the runner from Group A is faster than the runner from Group B.  There are a total of 20 pairs, and 19 pairs support the hypothesis.  The only pair which does not support the hypothesis are the two runners with ranks 5 and 6, because in this pair, the runner from Group B had the faster time.  By the Kerby simple difference formula, 95% of the data support the hypothesis (19 of 20 pairs), and 5% do not support (1 of 20 pairs), so the rank correlation is r = .95 - .05 = .90.'];https://simple.wikipedia.org/wiki/Rank%20correlation
38;What does a correlation value of r = 1 signify in terms of the relationship between pairs and the hypothesis?;A correlation value of r = 1 means that 100% of the pairs favor the hypothesis.;"[""The maximum value for the correlation is r = 1, which means that 100% of the pairs favor the hypothesis.  A correlation of r = 0 indicates that half the pairs favor the hypothesis and half do not.  An effect size of r = 0 describes no relationship between group membership and the members' ranks.""]";https://simple.wikipedia.org/wiki/Rank%20correlation
