;question;predicted_answer;ground_truth_answer;context;context_relevance_score;faithfulness_score;semantic_similarity_score
10;Why are neural networks often compared to a 'black box' in data science?;Neural networks are often compared to a 'black box' because, similar to how a neural network can predict that a green apple is likely to be sour without us understanding the intricate details of its internal processes, we know it produces accurate results but the exact workings inside the model remain largely unknown.;Neural networks are often compared to a brain which is hard to understand. It is not fully explainable and therefore often like a black box.;Using a Neural network (Trying to make a model like a brain, which is hard to understand, but a computer can tell that if the apple is green it has a higher chance to be sour, if we tell the computer the apple is green. So this is like a black box model, we do not know how it works, but it works.);1;1,0;0,777043879032135
11;How does a classification tree help predict unknown characteristics of an object based on known attributes?;A classification tree uses known attributes of an object, such as size, color, and shininess, to predict unknown characteristics, like what the taste of an apple might be.;A classification tree is a model that predicts an attribute, like the taste of an apple, by splitting data based on other features such as size, color, and shininess.;Using Classification tree (With all other knowledge trying to say what one other thing about the thing we are looking at will be. Here is an apple with a size, a colour and shininess, what will it taste like?);1;0,5;0,9237027168273926
12;What are the two main types of statistics mentioned, and what is their primary function?;The two main types of statistics mentioned are descriptive statistics and inferential statistics. Descriptive statistics summarize data, while inferential statistics are used to make predictions.;The main two types are descriptive statistics and inferential statistics. While descriptive statistics make summaries of data, inferential statistics makes predictions.;"Statistics is a branch of applied mathematics that deals with collecting, organising, analysing, reading and presenting data. Descriptive statistics make summaries of data. Inferential statistics makes predictions. Statistics helps in the study of many other fields, such as science, medicine, economics, psychology, politics and marketing. Someone who works in statistics is called a statistician. In addition to being the name of a field of study, the word ""statistics""  can also mean numbers that are used to describe data or relationships.";1;1,0;0,9772246479988098
13;What is the earliest known form of statistics and which ancient civilization first recorded it?;The earliest known form of statistics is census data, first recorded by the Babylonians around 3500 BC.;The Babylonians conducted the first known form of statistics and did a census around 3500 BC.;The first known statistics are census data. The Babylonians did a census around 3500 BC, the Egyptians around 2500 BC, and the Ancient Chinese around 1000 BC.;1;1,0;0,9343008995056152
14;Who was one of the mathematicians responsible for developing probability theory in the 16th century, which helped transform statistics into a science?;Gerolamo Cardano;Gerolamo Cardano;Starting in the 16th century mathematicians such as Gerolamo Cardano developed probability theory, which made statistics a science. Since then, people have collected and studied statistics on many things. Trees, starfish, stars, rocks, words, almost anything that can be counted has been a subject of statistics.;1;1,0;0,9999999403953552
15;In statistics, what is the difference between a 'sample' and a 'population'?;A 'sample' refers to a subset of people chosen from the total 'population' to represent the whole. The sample consists of observable data, whereas the population includes all potential data, which is often not fully observable.;In statistics, a 'sample' is a group out of the entire 'population' that is observed and measured, while the 'population' refers to the entire group of interest, including individuals not directly observed or measured.;Before we can describe the world with statistics, we must collect data. The data that we collect in statistics are called measurements. After we collect data, we use one or more numbers to describe each observation or measurement. For example, suppose that we want to find out how popular a certain TV show is. We can pick a group of people (called a sample) out of the total population of viewers. Then we ask each viewer in the sample how often they watch the show. The sample is data that one can see, and the population is data that one cannot see (assuming that not every viewer in the population are asked). For another example, if we want to know whether a certain drug can help lower blood pressure, we could give the drug to people for some time and measure their blood pressure before and after.;1;1,0;0,9274842143058777
16;What is the difference between descriptive statistics and inferential statistics?;Descriptive statistics are used to describe the data that can be seen, while inferential statistics are used to make predictions about data that cannot be seen.;The difference between descriptive statistics and inferential statistics is that descriptive statistics describe the data that is seen, while inferential statistics are used to make predictions about data that is not directly seen.;Numbers that describe the data one can see are called descriptive statistics. Numbers that make predictions about the data one cannot see are called inferential statistics.;1;1,0;0,8989486694335938
17;What is an example of a descriptive statistic related to a demographic group in the United States?;The average height of women in the United States is an example of a descriptive statistic.;The average height of women in the United States is an example of a descriptive statistic.;Descriptive statistics involves using numbers to describe features of data. For example, the average height of women in the United States is a descriptive statistic: it describes a feature (average height) of a population (women in the United States).;1;1,0;1,0
18;How does inferential statistics help biologists predict the size of animal offspring?;Inferential statistics allows biologists to create models predicting that offspring will likely be small if the parents were small, providing a more accurate prediction than random guessing.;Inferential statistics helps biologists predict the size of animal offspring by allowing them to create models based on observed data, such as the size of the parents. These models can predict that offspring are likely to be small if the parents were small, providing a more accurate method of prediction than random guessing.;Once the results have been summarized and described, they can be used for prediction. This is called inferential statistics. As an example, the size of an animal is dependent on many factors. Some of these factors are controlled by the environment, but others are by inheritance. A biologist might therefore make a model that says that there is a high probability that the offspring will be small in size—if the parents were small in size. This model probably allows to predict the size in better ways than by just guessing at random. Testing whether a certain drug can be used to cure a certain condition or disease is usually done by comparing the results of people who are given the drug against those who are given a placebo.;1;1,0;0,9443107843399048
19;What is one common method used to collect statistical data as mentioned in the text?;One common method to collect statistical data is by conducting surveys, such as opinion polls.;One common method used to collect statistical data is by doing surveys, such as opinion polls.;Most often, we collect statistical data by doing surveys or experiments. For example, an opinion poll is one kind of survey. We pick a small number of people and ask them questions. Then, we use their answers as the data.;1;1,0;0,997175395488739
20;Why is the selection of sampling locations crucial when measuring the water quality of a lake?;The selection of sampling locations is crucial because it directly influences the statistics and results of the study. For example, taking samples next to a waste drain versus a far-away spot in the lake will yield different results, affecting the accuracy and representation of the water quality assessment.;The selection of sampling locations is crucial because it has a direct influence on the measurement itself. For example, when the water quality should be measured, it makes a big difference if the water sample is taken near a waste drain or in a hard-to-reach spot of the lake.;The choice of which individuals to take for a survey or data collection is important, as it directly influences the statistics. When the statistics are done, it can no longer be determined which individuals are taken. Suppose we want to measure the water quality of a big lake. If we take samples next to the waste drain, we will get different results than if the samples are taken in a far-away and hard-to-reach spot of the lake.;1;1,0;0,9619796276092529
21;What is a 'chance error' in statistics and when is it likely to occur?;A 'chance error' in statistics occurs when the samples used in a study are not representative of the real population, which is more likely to happen when there are very few samples.;A 'chance error' in statistics refers to the error that arises when sample observations differ from the actual population characteristics. This type of error is more likely to occur when there are very few samples, making them less representative of the population.;If there are many samples, the samples will likely be very close to what they are in the real population. If there are very few samples, however, they might be very different from what they are in the real population.  This error is called a chance error (see also Errors and residuals in statistics).;1;1,0;0,9082024693489075
22;Why is it important to choose individuals for samples randomly in statistical studies?;Choosing individuals randomly is important to avoid bias, ensuring the sample accurately represents the total population. If not chosen randomly, the samples might significantly differ from the actual characteristics of the total population, even if a large number of samples is taken.;Choosing individuals randomly for samples in statistical studies is important to avoid bias. If samples are not selected randomly, they might not accurately represent the total population.;The individuals for the samples need to be chosen carefully. Usually, they will be chosen randomly. If this is not the case, the samples might be very different from what they really are in the total population. This is true even if a great number of samples is taken. This kind of error is called bias.;1;1,0;0,9696788787841797
23;Why can large random samples sometimes be difficult to obtain in statistical studies?;Large random samples can be hard to take because of logistical challenges, the reluctance of individuals to participate, or the awareness of participants that they are receiving a placebo or fake treatment.;It is difficult to obtain large random samples in statistical studies because they require resources and coordination. If people are not asked, or refuse to answer, or know they are getting a fake treatment, this can cause bias. ;We can reduce chance errors by taking a larger sample, and we can avoid some bias by choosing randomly. However, sometimes large random samples are hard to take. And bias can happen if different people are not asked, or refuse to answer our questions, or if they know they are getting a fake treatment. These problems can be hard to fix. See standard error for more.;1;1,0;0,8871504068374634
